X,Y,TotalVolunteers,DateOriginal,Totalltems_EventRecord
-156.67718,20.87158,1,9/16/2017,1
-156.67664,20.87788,2,9/21/2019,930
-156.67661,20.87072,5,9/16/2017,548
-156.67651,20.87059,1,9/15/2018,239
-156.67626,20.87686,1,9/21/2019,392
-156.67614,20.86924,5,9/21/2019,331
-156.67613,20.86867,2,9/15/2018,63
-156.67613,20.86902,4,9/21/2019,1222
-156.67608,20.87018,7,9/21/2019,785
-156.67604,20.86828,2,9/21/2019,111
-156.67603,20.86895,16,9/21/2019,1
-156.67601,20.86898,1,9/16/2017,0
-156.67601,20.86941,4,9/21/2019,404
-156.676,20.86869,3,9/16/2017,69
-156.676,20.86886,2,9/21/2019,1
-156.676,20.86912,2,9/21/2019,245
-156.67599,20.86878,1,9/24/2016,108
-156.67599,20.86919,6,9/21/2019,540
-156.67598,20.8695,2,9/21/2019,11
-156.67597,20.86873,1,9/21/2019,86
-156.67595,20.86888,2,9/21/2019,0
-156.67594,20.86871,1,9/15/2018,0
-156.67594,20.86882,3,9/21/2019,94
-156.67594,20.86975,1,9/21/2019,11
-156.67593,20.86878,1,9/21/2019,211
-156.67591,20.86886,1,9/16/2017,0
-156.67589,20.86893,3,9/21/2019,182
-156.67587,20.86895,4,9/16/2017,527
-156.67586,20.86781,1,9/21/2019,0
-156.67585,20.86879,2,9/15/2018,782
-156.67585,20.87618,0,9/16/2017,448
-156.67583,20.86786,1,9/15/2018,479
-156.67579,20.86887,300,9/16/2017,7991
-156.67578,20.86899,4,9/21/2019,548
-156.67576,20.8688,1,9/21/2019,0
-156.67568,20.86835,6,9/21/2019,242
-156.67445,20.87177,2,9/21/2019,944
-156.67431,20.87164,288,9/24/2016,17827
-156.67212,20.86877,2,9/21/2019,343
-156.67181,20.86918,2,9/21/2019,1188
-156.67148,20.86835,1,9/15/2018,20
-156.67032,20.86184,12,9/15/2018,1364
-156.66962,20.8635,4,9/21/2019,327
-156.66932,20.88264,5,9/21/2019,583
-156.66857,20.88333,4,9/21/2019,723
-156.66851,20.86207,2,9/16/2017,0
-156.66843,20.99355,3,4/28/2018,19
-156.66834,20.9935,1,4/27/2018,28
-156.66809,20.99375,3,4/25/2018,13
-156.66703,20.99866,13,10/7/2016,419
-156.66686,20.99871,10,10/6/2017,237
-156.66444,20.85621,3,9/21/2019,115
-156.66272,20.85408,2,9/24/2016,982
-156.65982,20.8879,11,9/21/2019,1004
-156.65419,21.00132,2,9/16/2017,237
-156.65364,20.84455,2,9/21/2019,491
-156.65239,21.0035,4,9/5/2019,19
-156.6523,21.00327,19,11/22/2019,371
-156.65224,21.00354,4,1/24/2020,66
-156.65086,21.00479,1,9/26/2019,76
-156.6424,21.01105,2,9/16/2017,163
-156.63415,20.84991,3,9/21/2019,207
-156.63251,21.01975,12,9/16/2017,1611
-156.61563,20.80907,7,9/18/2016,998
-156.61387,71.342735,15,7/17/2019,254
-156.60959,21.02097,1,12/15/2017,9
-156.60956,20.81023,42,9/24/2016,935
-156.606501,20.80906,3,10/20/2019,131
